0,1,2,Labels,Object,sinx,cosx,siny,cosy,sinz,cosz
0.05039205,-0.015169989,0.01611451,w-grasp,banana,0.157646233,0.987495653,-0.047638483,0.998864643,0.050602113,0.998718892
0.07820408,-0.008907886,0.0350699,w-grasp,banana,0.243214136,0.96997262,-0.027980472,0.99960847,0.10994935,0.993937191
0.07839155,0.01010899,-0.001870947,w-grasp,banana,0.243785346,0.969829214,0.031752054,0.999495776,-0.005877547,0.999982727
-0.03832477,-0.02100199,0.03907692,w-grasp,banana,-0.120106606,0.992761,-0.065929894,0.997824258,0.122452043,0.992474432
0.03483969,-0.008658257,0.02799746,w-grasp,banana,0.109230501,0.994016447,-0.027196561,0.999630105,0.087840664,0.996134538
-0.07193637,-0.03548577,0.05085982,w-grasp,banana,-0.224069453,0.974573178,-0.111247791,0.993792699,0.159097187,0.987262926
0.06515443,0.02274379,0.005068222,w-grasp,banana,0.203256437,0.979125539,0.07138884,0.997448562,0.015921145,0.999873251
0.09450616,0.007163682,0.006937783,w-grasp,banana,0.292548739,0.956250613,0.022502807,0.99974678,0.021793319,0.999762497
0.06684189,-0.01767853,0.02118078,w-grasp,banana,0.208444053,0.978034292,-0.055508557,0.998458211,0.066490331,0.997787069
0.03694434,0.031011749,0.009652436,w-grasp,banana,0.115800262,0.99327252,0.09726937,0.995258092,0.030318481,0.999540289
0.08059924,0.001026332,0.02349388,w-grasp,banana,0.250505639,0.96811514,0.003224216,0.999994802,0.073739035,0.997277572
0.08124193,-0.02067259,0.0236588,w-grasp,banana,0.252459762,0.967607394,-0.064897301,0.997891948,0.07425571,0.997239234
0.089665845,-0.007872356,0.02419992,w-grasp,banana,0.277974876,0.960588345,-0.024728485,0.999694204,0.075950838,0.997111564
0.06747838,-0.007448648,0.02784059,w-grasp,banana,0.210399247,0.977615546,-0.023397792,0.999726234,0.087349751,0.996177706
0.08478359,0.01600126,0.006284443,w-grasp,banana,0.263209635,0.964738663,0.050246791,0.998736832,0.019741295,0.999805122
0.05869519,0.01727285,-0.002635472,w-grasp,banana,0.183347832,0.983048103,0.054236033,0.998528143,-0.008279241,0.999965726
0.08213423,0.02058898,0.02431497,w-grasp,banana,0.255171126,0.966895908,0.064635191,0.99790896,0.076311218,0.997084048
0.06897172,0.01511838,-0.001016269,w-grasp,banana,0.21498323,0.97661774,0.047476537,0.998872353,-0.003192604,0.999994904
0.090339124,-0.01763629,0.011844901,w-grasp,banana,0.280005999,0.95999825,-0.055376064,0.998465569,0.03720217,0.99930776
0.090481624,0.002192994,0.02060206,w-grasp,banana,0.280435727,0.959872806,0.006889236,0.999976269,0.064676196,0.997906303
0.07380369,-0.01544185,0.02848314,w-grasp,banana,0.229782593,0.973241984,-0.048491548,0.998823593,0.089360427,0.995999354
0.074986175,0.01863363,0.005991621,w-grasp,banana,0.233396375,0.97238168,0.058504123,0.998287167,0.018821564,0.999822859
0.101293005,-0.014030671,0.01515163,w-grasp,banana,0.312868802,0.949796353,-0.044063082,0.999028751,0.047580874,0.998867389
0.08596866,0.007342145,0.000350684,w-grasp,banana,0.266799426,0.963752077,0.023063303,0.999734007,0.001101672,0.999999393
0.06930467,0.02012833,0.012529111,w-grasp,banana,0.216004618,0.976392342,0.063191018,0.998001451,0.03935004,0.999225487
0.06378619,-0.013835359,0.03192478,w-grasp,banana,0.199045971,0.979990154,-0.043450097,0.999055599,0.100123651,0.994975002
-0.02480779,-0.005801083,0.03475903,w-grasp,banana,-0.077854806,0.996964708,-0.018223092,0.999833946,0.108978621,0.994044094
0.07070436,-0.009804294,0.03522527,w-grasp,banana,0.220295836,0.975433106,-0.03079532,0.999525712,0.110434472,0.993883407
0.074795164,0.02417672,0.01576098,w-grasp,banana,0.232812845,0.972521557,0.075878165,0.997117096,0.049492891,0.998774476
-0.06957053,-0.04786896,0.04118786,w-grasp,banana,-0.216820024,0.976211594,-0.149814189,0.988714169,0.129030914,0.991640572
-0.058679797,-0.0221085,0.04757294,w-grasp,banana,-0.183300294,0.983056968,-0.069398027,0.997589051,0.148894672,0.988853061
0.06713828,0.0265045,0.01599663,w-grasp,banana,0.209354619,0.977839784,0.08316771,0.996535565,0.050232264,0.998737563
-0.07438251,-0.03394825,0.03591285,w-grasp,banana,-0.231551919,0.972822547,-0.106446374,0.994318445,0.112581034,0.993642547
0.05421058,-0.004496737,0.02878058,w-grasp,banana,0.169480517,0.985533538,-0.014126031,0.999900223,0.090291057,0.995915421
0.0831623,-0.01822775,0.01661443,w-grasp,banana,0.258292556,0.966066745,-0.057231188,0.998360952,0.052170537,0.99863819
-0.06068053,-0.03349029,0.03730089,w-grasp,banana,-0.189475443,0.98188546,-0.105015757,0.994470558,0.116912755,0.993142189
0.09137646,0.01429436,0.009481013,w-grasp,banana,0.28313294,0.959080673,0.044890641,0.998991907,0.029780199,0.999556472
0.05957289,-0.008243579,0.026699001,w-grasp,banana,0.186057684,0.982538823,-0.025894307,0.999664686,0.083776603,0.996484561
0.00244521,-0.009230778,0.02242991,w-grasp,banana,0.007681552,0.999970496,-0.028994425,0.999579573,0.070405267,0.99751847
0.07454446,-0.020225441,0.02396612,w-grasp,banana,0.232046828,0.972704616,-0.06349548,0.997982126,0.075218456,0.997167079
0.05278388,0.005180539,0.03349955,w-grasp,banana,0.16506169,0.986283245,0.016273945,0.999867571,0.105044687,0.994467503
0.02410623,-0.01158947,0.02070767,w-grasp,banana,0.075657357,0.997133875,-0.036400277,0.99933729,0.065007272,0.99788479
0.052018233,0.01978687,1.02E-05,w-grasp,banana,0.162688927,0.986677411,0.062120429,0.998068661,3.19537E-05,0.999999999
0.07740669,-0.01451106,0.02234042,w-grasp,banana,0.240783593,0.970578828,-0.045570708,0.998961116,0.070124829,0.997538224
0.06932022,-0.01269038,0.02431104,w-grasp,banana,0.216052315,0.976381789,-0.039856269,0.999205423,0.076298908,0.99708499
0.080860645,-0.014900969,0.03158421,w-grasp,banana,0.251300575,0.967909098,-0.0467943,0.998904547,0.09905907,0.995081555
0.05063498,-0.01070231,0.02917161,w-grasp,banana,0.158399809,0.987375056,-0.033614973,0.999434857,0.091514392,0.995803754
0.07819753,0.01363797,0.003272565,w-grasp,banana,0.243194177,0.969977625,0.042830577,0.99908235,0.010280581,0.999947153
0.063735336,0.017419921,0.001213444,w-grasp,banana,0.198889408,0.98002194,0.054697371,0.998502978,0.003812025,0.999992734
-0.037301317,-0.01927231,0.03332683,w-grasp,banana,-0.116914088,0.993142032,-0.060506981,0.998167774,0.104505073,0.994524353
0.088078015,0.010272631,0.006312385,w-grasp,banana,0.273179862,0.961962974,0.032265867,0.999479321,0.019829057,0.999803385
